V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q4,Q21,Q5,Q6,Q6_TEXT,Q20,Q20_TEXT,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q2_22,Q2_23,Q2_24,Q2_25,Q2_26,Q2_27,Q2_28,Q2_29,Q2_30,Q2_31,Q2_32,Q2_33,Q2_34,Q2_35,Q2_36,Q2_37,Q2_38,Q2_39,Q2_40,Q11,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q13,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q15,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q17_26,Q17_27,Q17_28,Q18,Q22,Q19
R_5mwA2TkxHA8hVv7,Default Response Set,Anonymous,,,12.249.51.110,0,10/28/13 14:42,10/28/13 14:50,1,Female,PortreroHill,29-34,Other,mostly straight,Other,Catholic/Daoist/Spiritual not religious/Agnostic?,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,Talking shit,,,,,,,Cutting off slow drivers,,,,,,,,,Talking smack about exes,,,Bitterness,,,Not giving to the poor,,,,,,,,,,,,,,,,,,,,,,Never reading the bible,,Breaking promises,,,Not giving charity,,,Complaining about life,,Premarital sex,,, Oral sex,,,,,Cheating ,Masturbation,,Wanting someone else's partner,,Dirty talk,,,,,,,,,,,,,Overeating,,,Expensive food,Guilty food,,,Eating a whole pizza in one sitting,Eating even when not hungry,,,,,,,,,,,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,,,,,,,,Ungratefulness,,,,,,Covetous conversation,,Obsession with money,Obsession with luxury goods,,,Obsession with expensive clothing,,,,,,,,,,,,,Vanity,Arrogance,,Brand names,,Condescention,Racism,,,,,,,,,Bragging about accomplishments,Feeling superior to others,,,,,,,,Graduate school,,Lack of humility,Conceit,,,
R_eLj4xPdNTaOy5Nz,Default Response Set,Anonymous,,,199.116.73.50,0,10/28/13 14:43,10/28/13 14:51,1,Male,The Mission,23-28,Straight,,Atheist,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",Hating a peer,,,Internet harassment,,,,Stealing the blankets,Talking shit,Calling names,Mocking,,Giving the finger,Intentionally stepping on people's feet,Shaming stupid people ,Cutting off slow drivers,Take people's things for fun,Break things for fun,,Scaring weaker people,Using my sharp wit to silence the ignorant,Holding grudges,,,,Gossiping ,Talking back,Bitterness,,,Not giving to the poor,Hindering other people,Thinking ill of others,,,Violence,Contempt,,speaking evil about god,speaking about other people's evil,,Failing to get a job,Not working hard enough,Not sticking to my commitments,,Farting in bed,,,,,,,Never reading the bible,Not attending church,,,Blasphemy,Not giving charity,,Not going to church,,,Premarital sex,Fetish sex,Anal sex, Oral sex, Threesomes,Exhibitionism,Voyeurism,Public sex,Cheating ,Masturbation,Porn use,Wanting someone else's partner,Sexually corrupting an innocent,Dirty talk,Crossdressing,Dressing indecently,One night stands to feel loved,Orgies,,Sex to raise one's self esteem,Flirting out of boredom,,,,Running around naked at Burning Man,,Overeating,Stoned eating,Sneaking food,Expensive food,Guilty food,Breaking diet,,Eating a whole pizza in one sitting,Eating even when not hungry,Foody-ism,Food porn,,,Sweet tooth,Excessive drinking,,Stealing all the cookies,Eating past fullness at every meal,Constant snacking,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,Wanting someone to fail,Wanting someone to suffer,Wanting someone‰Ûªs looks,Schaudenfreude,Partner jealousy,Wanting more power,,Ungratefulness,,,Shoplifting,,Judging other people,Covetous conversation,,Obsession with money,Obsession with luxury goods,,Obsession with cars,Obsession with expensive clothing,Leaving Academia for the industry,,,,,,,,,,,,Vanity,Arrogance,,,Excessive gym attendance,Condescention,,iPhone 5c,,,,Making fun of others,Judgment ,Tattoos,Eating kale in public,Bragging about accomplishments,Feeling superior to others,Atheism,,,Sports cars,Attending Ivy League Schools,,,,,Lack of humility,Conceit,,,This is the best thing ever.
R_eCLzNda5anJx2pD,Default Response Set,Anonymous,,,108.71.94.39,0,10/28/13 14:53,10/28/13 14:57,1,Female,Excelsior,29-34,Straight,,Secular,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,Talking shit,,,,,,,,,,,,Using my sharp wit to silence the ignorant,Holding grudges,,,Talking smack about exes,Gossiping ,,,,,Not giving to the poor,,Thinking ill of others,,,,Contempt,Corrupt conversation,,,,Failing to get a job,Not working hard enough,Not sticking to my commitments,Smoking too much pot,Farting in bed,,,TV binge,,,Sleeping until noon,Never reading the bible,Not attending church,,Spending the whole day in bed reading blogs,Blasphemy,Not giving charity,,Not going to church,Complaining about life,,Premarital sex,Fetish sex,, Oral sex,,Exhibitionism,Voyeurism,Public sex,,Masturbation,Porn use,,,Dirty talk,,Dressing indecently,,,,,Flirting out of boredom,,,,Running around naked at Burning Man,,Overeating,Stoned eating,,Expensive food,,,,,Eating even when not hungry,Foody-ism,Food porn,,Fast food ,,,,,,,,,,,Wanting someone to fail,Wanting someone to suffer,Wanting someone‰Ûªs looks,Schaudenfreude,,Wanting more power,,Ungratefulness,,,,,,Covetous conversation,,,,,,,Leaving Academia for the industry,,,,,,,,,,Wearing Jewelry,,Vanity,Arrogance,,Brand names,,Condescention,,,,,,Making fun of others,Judgment ,,Eating kale in public,Bragging about accomplishments,Feeling superior to others,Atheism,,,,,Plastic surgery,Makeup usage,Graduate school,Boasting,Lack of humility,Conceit,,,
R_4VhJ8KcAg0GFaDP,Default Response Set,Anonymous,,,64.79.123.91,0,10/29/13 10:31,10/29/13 10:35,1,Male,Excelsior,23-28,Straight,,Jewish,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,"Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",Hating a peer,,,,,,,,Talking shit,Calling names,Mocking,,,,,,,,,,Using my sharp wit to silence the ignorant,Holding grudges,,,,Gossiping ,Talking back,Bitterness,,,,,,,,,Contempt,,,,,,,,,,Watching breaking bad,,TV binge,,Watching an entire season of TV in one day,Sleeping until noon,,Not attending church,,,,Not giving charity,,Not going to church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overeating,,Sneaking food,Expensive food,,,,,,,Food porn,,Fast food ,,,Obesity,Stealing all the cookies,,,Comfort food,,,Wanting someone‰Ûªs possessions,,,Wanting someone‰Ûªs looks,Schaudenfreude,,Wanting more power,,Ungratefulness,,Robbing,,,,Covetous conversation,,Obsession with money,Obsession with luxury goods,,Obsession with cars,Obsession with expensive clothing,,,,In app advertising,,,,,,,,,Vanity,Arrogance,,Brand names,,Condescention,,,,,,Making fun of others,Judgment ,,Eating kale in public,Bragging about accomplishments,,,Inability to come clean,,,,,,,Boasting,Lack of humility,Conceit,,,
R_3WYhf5j9iwqrUah,Default Response Set,Anonymous,,,70.197.0.37,0,10/29/13 10:40,10/29/13 10:47,1,Male,Inner Richmond,23-28,Straight,,"Spiritual, not religious",,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,"Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",,,,picking fights,,,,,,Stealing the blankets,Talking shit,,,Cursing out bad drivers,,,Shaming stupid people ,,,,,,Using my sharp wit to silence the ignorant,,,,,Gossiping ,Talking back,,,,,,,,,,,,,speaking about other people's evil,,,Not working hard enough,,Smoking too much pot,Farting in bed,,,,,,Sleeping until noon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overeating,Stoned eating,Sneaking food,Expensive food,,,,,,Foody-ism,,,Fast food ,,,,,Eating past fullness at every meal,,Comfort food,,Wanting someone‰Ûªs partner,,,,,,,Wanting more power,,Ungratefulness,,,,,Judging other people,Covetous conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3JoqMsFDnjXr8q1,Default Response Set,Anonymous,,,37.26.146.208,0,10/29/13 11:47,10/29/13 11:53,1,Female,,29-34,Bisexual ,,Jewish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanting a girlfriend and a boyfriend ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Money. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0wkkIEwdPmIqeDb,Default Response Set,Anonymous,,,72.76.85.193,0,10/29/13 14:34,10/29/13 14:38,1,Female,Cole Valley,60+,Straight,,Jewish,,,,,"Gluttony (Expensive food, overindulgence)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expensive food,,Breaking diet,,Eating a whole pizza in one sitting,,,,,,Sweet tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0V41NeYyT7pd7Fj,Default Response Set,Anonymous,,,50.152.140.212,0,10/29/13 15:50,10/29/13 15:50,1,Male,Bayview Park,Under 18 (data will not be collected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2giVxfLUw05xzq5,Default Response Set,Anonymous,,,50.152.140.212,0,10/29/13 15:50,10/29/13 15:51,1,Male,Bayview Park,18-22,Undecided ,,Jewish,,,,"Lust (deviant sex, excessive sex )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flirting out of boredom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7250To0sfCV0X2J,Default Response Set,Anonymous,,,209.233.216.178,0,10/29/13 16:28,10/29/13 16:31,1,Female,The Castro,29-34,Straight,,Agnostic,,,"Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,"Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",,"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not working hard enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overeating,,,Expensive food,,,,,Eating even when not hungry,,,,,Sweet tooth,Excessive drinking,,,,,,,Wanting someone‰Ûªs partner,,Wanting someone to fail,Wanting someone to suffer,Wanting someone‰Ûªs looks,Schaudenfreude,Partner jealousy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanity,,,,,,,,,,Selfies,,,,,,,,,,,,,,,,,,,,
R_6KV9YMGjVLygvtz,Default Response Set,Anonymous,,,64.134.226.3,0,10/29/13 18:37,10/29/13 18:40,1,Male,,23-28,Straight,,"Spiritual, not religious",,,,"Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masturbation,,,,,,,,,,,Flirting out of boredom,,,,,,,,,,,,,Eating a whole pizza in one sitting,,,,Cinnabon,Fast food ,Sweet tooth,,,,,,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,,,,,,,,,,,,,Judging other people,,,Obsession with money,,,,,,,,,,,,,,,,,Vanity,,,,,,,,,,Selfies,Making fun of others,Judgment ,Tattoos,,,,Atheism,,,,,,,,,,,,,
R_9yMZ9ytfZD2vr6Z,Default Response Set,Anonymous,,,206.135.17.22,0,10/29/13 18:36,10/29/13 18:42,1,Male,Twin Peaks,50-60,Other,tri,Atheist,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",Hating a peer,,,,,,,,Talking shit,Calling names,Mocking,Cursing out bad drivers,Giving the finger,,,,,,Weaponizing farts,,Using my sharp wit to silence the ignorant,Holding grudges,,,,Gossiping ,Talking back,Bitterness,,,Not giving to the poor,,Thinking ill of others,,Condemning,,Contempt,Corrupt conversation,speaking evil about god,speaking about other people's evil,,Failing to get a job,Not working hard enough,Not sticking to my commitments,,Farting in bed,,,,,,Sleeping until noon,Never reading the bible,Not attending church,,,Blasphemy,,,Not going to church,Complaining about life,,,Fetish sex,Anal sex, Oral sex,,,,,,Masturbation,Porn use,Wanting someone else's partner,,Dirty talk,,,,,,,Flirting out of boredom,,,,,,Overeating,,Sneaking food,,Guilty food,Breaking diet,,,Eating even when not hungry,,Food porn,,,Sweet tooth,,Obesity,,Eating past fullness at every meal,Constant snacking,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,Wanting someone to fail,,Wanting someone‰Ûªs looks,,,,,,,,,Judging god's servants,Judging other people,Covetous conversation,,Obsession with money,Obsession with luxury goods,,Obsession with cars,Obsession with expensive clothing,,,,,,,,,,,,,,Arrogance,,,,,,,,,,Making fun of others,Judgment ,,,Bragging about accomplishments,,Atheism,,,,,,,,,,,,HA! no way....,SIN SIN SIN
R_5j6CDEFwHuRAXt3,Default Response Set,Anonymous,,,69.181.217.111,0,10/29/13 19:11,10/29/13 19:18,1,Male,The Castro,40-50,Gay,,Christian,,,"Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )",,"Envy (schaudenfreude, wanting what someone has)",,"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farting in bed,,,TV binge,,,Sleeping until noon,Never reading the bible,Not attending church,,,,,,,Complaining about life,,,Fetish sex,Anal sex, Oral sex, Threesomes,,,,,Masturbation,,,,Dirty talk,Crossdressing,,,,,,Flirting out of boredom,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanting someone‰Ûªs possessions,,,Wanting someone‰Ûªs looks,,,Wanting more power,,,,,,,Judging other people,,,,,,,,,,,,,,,,,,,,Vanity,Arrogance,,,,,,,,,,Making fun of others,,Tattoos,,,Feeling superior to others,,,,,,,Makeup usage,,,,,,stealing,
R_7OH6siVnONLazS5,Default Response Set,Anonymous,,,199.27.106.156,0,10/29/13 19:36,10/29/13 19:39,1,Male,Lower Pac Heights,40-50,Queer,,"Spiritual, not religious",,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,"Gluttony (Expensive food, overindulgence)",,Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",Hating a peer,,,,,,,,Talking shit,Calling names,Mocking,Cursing out bad drivers,,,,,,,Weaponizing farts,,,,,,Talking smack about exes,Gossiping ,Talking back,Bitterness,,,,Hindering other people,Thinking ill of others,,Condemning,,Contempt,,,speaking about other people's evil,,,,,,Farting in bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoned eating,,,,,,,,,Food porn,,,,,,,,,Comfort food,,,,,,,,,,,,,,,,,,,,Obsession with luxury goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boasting,,,,,
R_9nRP7MdyMcuNQPz,Default Response Set,Anonymous,,,24.23.169.195,0,10/29/13 23:38,10/29/13 23:40,1,Male,The Castro,35-40,Bisexual ,,Decline,,,,"Lust (deviant sex, excessive sex )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_8wYLtOLo5pknHZb,Default Response Set,Anonymous,,,199.27.106.156,0,10/30/13 10:08,10/30/13 10:11,1,Female,Financial District,23-28,Straight,,Atheist,,,"Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,"Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",,"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not working hard enough,,Smoking too much pot,Farting in bed,,,TV binge,,Watching an entire season of TV in one day,,Never reading the bible,Not attending church,,Spending the whole day in bed reading blogs,,,,Not going to church,Complaining about life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoned eating,,,Guilty food,Breaking diet,,,Eating even when not hungry,,,,Fast food ,,,,,,,Comfort food,,,,,,,,,,,,,,,Judging god's servants,,,,,,,,,,,,,,,,,,,,,,,Instagram,,,,,,,,,Making fun of others,,,,,,Atheism,,,,,,Makeup usage,,,,,,,
R_0eqKaOzcoaJwCkB,Default Response Set,Anonymous,,,199.27.106.156,0,10/30/13 10:22,10/30/13 10:27,1,Female,The Mission,35-40,Straight,,Agnostic,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",,"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",Hating a peer,picking fights,,,,,Making voodoo dolls of people I hate,Stealing the blankets,Talking shit,Calling names,Mocking,Cursing out bad drivers,Giving the finger,,Shaming stupid people ,,,,Weaponizing farts,,Using my sharp wit to silence the ignorant,,,,Talking smack about exes,Gossiping ,Talking back,Bitterness,Eating Blood,,Not giving to the poor,,Thinking ill of others,,,,,,speaking evil about god,speaking about other people's evil,,,,,Smoking too much pot,Farting in bed,Watching breaking bad,,TV binge,,Watching an entire season of TV in one day,Sleeping until noon,Never reading the bible,Not attending church,Breaking promises,Spending the whole day in bed reading blogs,,Not giving charity,,Not going to church,Complaining about life,,Premarital sex,Fetish sex,, Oral sex, Threesomes,,,Public sex,,Masturbation,Porn use,Wanting someone else's partner,,Dirty talk,,Dressing indecently,,Orgies,,,,,,,,,Overeating,Stoned eating,,Expensive food,,,,Eating a whole pizza in one sitting,Eating even when not hungry,Foody-ism,,,,,Excessive drinking,Obesity,Stealing all the cookies,,,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,,,,Schaudenfreude,,,,Ungratefulness,,,Shoplifting,Judging god's servants,Judging other people,,,,,,,,,,,,,,,,,,,,Vanity,Arrogance,Instagram,Brand names,,Condescention,,,,Misogyny,,Making fun of others,Judgment ,Tattoos,Eating kale in public,Bragging about accomplishments,Feeling superior to others,,,,,,,Makeup usage,,Boasting,Lack of humility,Conceit,,Its too horrible to tell.,
R_aYmbjCDhTX505IV,Default Response Set,Anonymous,,,199.27.106.156,0,10/30/13 13:44,10/30/13 13:49,1,Female,Mission Dolores,29-34,Straight,,Atheist,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,,"Envy (schaudenfreude, wanting what someone has)",,,Hating a peer,,,,,,,Stealing the blankets,Talking shit,Calling names,Mocking,Cursing out bad drivers,Giving the finger,,Shaming stupid people ,,,,,,,,,,,Gossiping ,Talking back,Bitterness,,,Not giving to the poor,,Thinking ill of others,,,,,,,,,,,,,Farting in bed,,Late for class,,,,Sleeping until noon,,,,,,Not giving charity,,,Complaining about life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanting someone‰Ûªs possessions,,,,Schaudenfreude,,,,Ungratefulness,,,,,Judging other people,,Wanting a house and back yard in San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9BoauFT4cIFLIfX,Default Response Set,Anonymous,,,67.160.203.59,0,10/30/13 20:58,10/30/13 21:04,1,Female,The Mission,29-34,Straight,,Other,Love,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",,,,picking fights,,,,,,Stealing the blankets,Talking shit,Calling names,Mocking,Cursing out bad drivers,,,Shaming stupid people ,Cutting off slow drivers,Take people's things for fun,,Weaponizing farts,Scaring weaker people,Using my sharp wit to silence the ignorant,Holding grudges,,,Talking smack about exes,Gossiping ,Talking back,,,,,,Thinking ill of others,,,,,,,,,,,Not sticking to my commitments,,Farting in bed,,,,,,,,Not attending church,Breaking promises,,,,,Not going to church,Complaining about life,,Premarital sex,,Anal sex, Oral sex,,,,Public sex,,Masturbation,Porn use,Wanting someone else's partner,,Dirty talk,,Dressing indecently,One night stands to feel loved,,,,Flirting out of boredom,,,,,,Overeating,Stoned eating,Sneaking food,Expensive food,Guilty food,,,,Eating even when not hungry,,Food porn,,Fast food ,Sweet tooth,,,,,Constant snacking,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,,,,,,Wanting more power,,,,,,Judging god's servants,Judging other people,Covetous conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stolen,
R_3CX2RRrvIq6bqHb,Default Response Set,Anonymous,,,99.176.5.225,0,10/30/13 23:06,10/30/13 23:13,1,Male,Nob Hill,29-34,Straight,,Taoist,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)",,,,,"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,Stealing the blankets,,,,Cursing out bad drivers,,,,,,,,,,,,,,,,,,,,,Thinking ill of others,,,,,,,,,,,,,,Watching breaking bad,,TV binge,,Watching an entire season of TV in one day,,Never reading the bible,Not attending church,,Spending the whole day in bed reading blogs,,,,Not going to church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instagram,,,,,,,,Selfies,,,,,,,,,,,,,,,,,,,Cheated on someone,
R_8GOJs8grect1MS9,Default Response Set,Anonymous,,,50.1.125.153,0,10/30/13 23:31,10/30/13 23:48,1,Male,Hayes Valley,29-34,Straight,,Atheist,,"Wrath (physical violence, lying, cheating, talking back, racism, sexism, hateful thoughts about others)","Sloth (Laziness, unemployment, uncleanliness, irreligious behavior)","Lust (deviant sex, excessive sex )","Gluttony (Expensive food, overindulgence)","Envy (schaudenfreude, wanting what someone has)",Greed  (Money),"Pride  (Vanity,  dissatisfaction with one's body, dissatisfaction with one's possessions)",,,,,,,,,Talking shit,,,Cursing out bad drivers,,,,,,,,Scaring weaker people,,Holding grudges,,,Talking smack about exes,Gossiping ,,Bitterness,,,Not giving to the poor,,Thinking ill of others,,,,,,,,,Failing to get a job,,Not sticking to my commitments,,,,,,,,Sleeping until noon,,,Breaking promises,Spending the whole day in bed reading blogs,,,,,Complaining about life,,Premarital sex,,, Oral sex,,Exhibitionism,Voyeurism,Public sex,Cheating ,Masturbation,Porn use,Wanting someone else's partner,Sexually corrupting an innocent,Dirty talk,Crossdressing,Dressing indecently,One night stands to feel loved,,,Sex to raise one's self esteem,Flirting out of boredom,,,,Running around naked at Burning Man,,Overeating,,,Expensive food,Guilty food,Breaking diet,,Eating a whole pizza in one sitting,,Foody-ism,Food porn,,Fast food ,Sweet tooth,Excessive drinking,,,Eating past fullness at every meal,Constant snacking,Comfort food,,Wanting someone‰Ûªs partner,Wanting someone‰Ûªs possessions,Wanting someone to fail,Wanting someone to suffer,Wanting someone‰Ûªs looks,,Partner jealousy,Wanting more power,,Ungratefulness,,,,Judging god's servants,Judging other people,Covetous conversation,,Obsession with money,Obsession with luxury goods,,,,,,,,,,,,,,,,,Arrogance,,,Excessive gym attendance,Condescention,,,Homophobia,,,Making fun of others,Judgment ,,,Bragging about accomplishments,Feeling superior to others,Atheism,Inability to come clean,,,Attending Ivy League Schools,,,Graduate school,Boasting,Lack of humility,,,Lied about paying off a gambling debt (from playing handball) with my parent's money.,
